id,userId,rating
4685,01c9eec7-0ec5-4fb9-af77-5cb2b9731d57,171
2610,01d70e5b-9ede-46d4-a528-c93f4478a4e3,166
5087,01ff363d-4a21-4121-af2d-686d5ca8460d,110
2641,02ee9236-69a9-40e1-bc58-8874bdbceea3,186
5081,031bccfc-47dc-49fd-a8c2-38d679ea1c7e,188
5905,04607c39-c432-4550-8aa1-0cda3b45b35b,161
1194,04d4adc9-a7c5-4373-aa4f-37de985c757d,160
4953,058a3c3d-9f60-4d34-aaf6-ebf69de4330b,141
3804,0674e843-be41-4326-bdda-e48492a81097,127
4827,095baf61-3edf-44a2-8d05-6f574566a8c0,202
2702,096bd0c1-b40d-451c-a325-114675f77a74,113
5130,09ecdd15-7d9f-4bb2-8196-47cb5a847489,185
4990,0a1405b2-c3ce-452f-8116-c5a54e60ce28,149
6125,0a73cd8d-dc55-41ce-9ed8-412c9fa1860f,179
4901,0a896209-22dd-4b55-9a9d-95a6c7bf87bc,84
5082,0b5bd15d-972c-4a7c-a180-435a12d84ba1,174
5745,0c5a3ce9-af97-46d5-820a-4b96f510b501,131
5118,0cf18231-4e3f-448d-a156-d9128c1eda41,151
204,0d619879-ca91-440a-9261-0519b9dd258a,228
5989,0e500017-b5bb-45d7-bd59-42ec41513594,149
4883,0fc7a18a-0fc7-4124-81e6-ef30e8442786,213
6007,10b64fec-bb8f-4827-a6d4-71220269c00e,146
4976,10dd78bc-b03e-46a6-a1df-48210bf2536a,141
5015,12ff4129-af7c-4931-807c-da527543cf37,199
2605,13de74bb-5359-4ecd-b157-d695cdee6346,180
4959,14a23724-d674-420e-a2d1-2d0a88a8fe76,168
5065,14ca11b4-f8fe-4f75-9ebe-ccfd0ed2933b,60
5290,151dceed-c290-4c8e-9646-a5289e185d58,185
5098,153406a5-4a84-46e2-a57b-54433ec4470c,176
2073,16e360a2-da1c-4b49-83c7-0cb06fd9d672,186
5911,176a11d1-8acf-4e00-ac58-ba1d1033407c,188
5014,185e6c14-38ff-4db4-b314-2181b31a7d63,165
5990,19af1390-a19e-4127-81fa-350db0b5a029,122
6056,1a5ce6e8-35dc-4494-88fb-180e325899e4,154
5742,1aad4da7-4c7d-4cb2-b8a9-14916d5df647,127
5822,1b176a71-e92d-4460-8bf2-7f2d31a5d98e,113
2663,1b250ea0-034e-4c86-a532-fa92a9e336e1,132
4951,1c5ca50f-94b1-4b99-a7f8-c978d6879419,120
1953,1c69577b-6621-4a4e-8f60-77fa1f243ea2,138
2691,1ca4683d-7381-417f-8cb9-0bea947bdbb1,180
5756,1cdd8c76-7665-4dfc-917b-feab60df329c,165
5780,1eef8f61-90aa-4d85-bc3c-c234829b01ba,105
5204,1f43ac87-642a-47ca-ada8-b3a86dfbeb3c,119
5018,1f4caceb-e0f8-4f66-91f2-5648b51e1fee,202
5910,1f781a7e-2b9d-4b96-863c-eef478cde0b7,191
5272,1faf24a0-ed74-4ca1-b25e-8b4ce8fdacb5,181
5732,20e7d19a-0b05-4392-92be-9b5fe89733ab,150
2746,23a61a42-b6c1-45c9-9718-8e7759991804,187
861,23cb5641-11af-43a9-9ef1-ced126dc22b7,205
4971,268ddce0-ed76-4ac1-a8be-b7e3bf042e0b,181
4989,28263bbf-db61-40ed-bc7c-5a2779f86c93,108
4717,2839d45d-294b-4642-bd68-cf5b806a6b01,170
5625,2950120b-cfdb-49d4-af18-19d7e51cd851,150
2174,29b41989-d658-457a-abcd-c2b9be555f73,198
4825,2a849c68-7ee3-484b-9cf9-bd096a103d3e,175
2106,2bbc480d-d46b-48d7-b9dc-9f028889c549,186
5769,2c252528-4e04-49de-a657-ded69f959564,181
5731,2f016724-8dce-4bce-acf7-9e94db012003,129
1231,2f31ddbb-e28f-49a7-9096-08bf9a15c2fd,180
