id,userId,rating,classExamId,rd,finishedAt
6021,e50f8c5b-9223-4341-be42-303e38213193,1152,7524,144.76589354460492,"2023-08-21 16:40:20"
6022,e50f8c5b-9223-4341-be42-303e38213193,1151,7525,110.68845992285185,"2023-08-21 16:48:01"
6023,e50f8c5b-9223-4341-be42-303e38213193,1222,7526,83.53163892416022,"2023-08-21 16:53:15"
6024,e50f8c5b-9223-4341-be42-303e38213193,1296,7527,70.28365408324593,"2023-08-21 16:55:55"
6025,e50f8c5b-9223-4341-be42-303e38213193,1254,7528,60.113590054844224,"2023-08-21 16:59:18"
6026,e50f8c5b-9223-4341-be42-303e38213193,1281,7529,53.12123885711501,"2023-08-21 17:02:20"
6027,e50f8c5b-9223-4341-be42-303e38213193,1345,7530,47.27827614369947,"2023-08-21 17:04:03"
6028,e50f8c5b-9223-4341-be42-303e38213193,1298,7531,45.89587141578525,"2023-08-21 17:05:42"
6029,e50f8c5b-9223-4341-be42-303e38213193,1313,7532,43.67209811984818,"2023-08-21 17:07:44"
6030,e50f8c5b-9223-4341-be42-303e38213193,1342,7533,41.575662997338206,"2023-08-21 17:08:47"
6031,e50f8c5b-9223-4341-be42-303e38213193,1311,7534,40.71278493335257,"2023-08-21 17:09:45"
6032,e50f8c5b-9223-4341-be42-303e38213193,1322,7535,39.465820320659674,"2023-08-21 17:10:54"
6033,e50f8c5b-9223-4341-be42-303e38213193,1333,7536,38.49064605494632,"2023-08-21 17:11:39"
6034,e50f8c5b-9223-4341-be42-303e38213193,1338,7537,37.375307718120006,"2023-08-21 17:12:32"
6035,e50f8c5b-9223-4341-be42-303e38213193,1342,7538,36.819901217394225,"2023-08-21 17:13:34"
6038,e50f8c5b-9223-4341-be42-303e38213193,1324,7541,36.200682540808444,"2023-08-21 17:50:21"
6043,e50f8c5b-9223-4341-be42-303e38213193,1332,7546,35.25278772554503,"2023-08-21 20:36:51"
6044,e50f8c5b-9223-4341-be42-303e38213193,1328,7547,34.71216807004593,"2023-08-21 20:42:25"
6045,e50f8c5b-9223-4341-be42-303e38213193,1348,7548,33.50390374758772,"2023-08-21 20:46:55"
6046,e50f8c5b-9223-4341-be42-303e38213193,1359,7549,32.9825236047657,"2023-08-21 20:59:52"
6047,e50f8c5b-9223-4341-be42-303e38213193,1358,7551,32.31711354610515,"2023-08-21 21:11:40"
6048,e50f8c5b-9223-4341-be42-303e38213193,1353,7552,31.617859548369452,"2023-08-21 21:21:02"
6058,e50f8c5b-9223-4341-be42-303e38213193,896,7565,177.0802574393229,"2023-10-21 16:46:45"
