userId,stevilo_resevanj
015b3470-fe8b-4372-8233-a84bc7c88ed8,24
0173fbad-a35e-47b7-a3ed-99bc09b1a4a9,28
025e4313-0421-49c9-bbab-50b0dd272c11,1
0574fc66-8466-448a-ae54-ec9876016fef,1
08eedc69-57ce-49ce-8f6f-9ab4c6f0916b,2
09d314bc-118c-4d73-9ba3-d45a90b3cd83,6
0a1a12aa-ce49-4e1e-a9db-f75080d2d809,1
0a24f4b7-2c39-4ae8-9984-66753ce0e30e,21
0a3c41c5-1e25-43fe-a964-483b4cf6a434,1
0aca0829-10c4-40a9-9852-0476a62efc54,2
0b807a49-466b-4a92-91f0-5fb579918af8,1
0ba1666a-8dd1-4f36-bb93-9441898af12d,8
0c2748b5-8c46-4859-ace6-fab4c4d8f419,1
0debbb66-e32a-49cd-8196-fc327a0b74bf,4
0deeac18-ab7b-4c0e-b2c8-df806cde5bdc,1
0e2af0d7-cb32-40c2-bcf1-103b23fcc0a3,1
0ea04cdd-f972-45f5-a0f9-3902e18a5efd,5
12b82806-4150-4fea-bc04-9bcf5ada9771,1
1493b522-42b9-4c3d-a8fc-52ea744ab15b,132
14a3f034-fe96-4270-819e-0124166b90a8,58
1731e10d-6beb-496e-a6e8-0ad34dab2534,3
18fd2c93-3e6e-4c32-83ea-beaff82f19c0,1
194a6396-96e0-4eba-882f-87dd973dd553,8
1a828cc8-0707-4ce8-ba06-a5e9e3c05c57,25
1c8656ed-140d-433b-aae1-3cc6b1dfbb7e,12
1cbbdcc6-5ffd-4589-907c-51e0d56e7d67,1
1dd9e896-30ac-42ef-b409-63f1598ce614,2
1fa6e11b-f113-4d76-a04f-22d158657632,4
22a7b89d-fe89-446a-a67d-32dbfb3dd8c5,1
24759f6f-1f0c-4776-bf98-d278594d868a,1
24c8b973-98d6-4fdf-9373-c7f6966dec11,11
263a245d-6230-408d-8a97-2d75620ab6c8,2
265a099c-2f0e-4210-a460-193bd603f122,21
27788ba8-a7e9-48ea-8852-aeb1e1586c93,10
2b621aeb-97ed-4b1a-9281-9ec338c1cc92,60
2beb6c9e-1a13-42bc-b949-f7f2b1512e03,30
2ce58279-931f-4e19-bcdb-32952f4a5692,16
2f4be28e-7db5-4114-a971-2cd8b8c2ec86,19
2f8d8acb-ef28-49df-8bc3-a3782fb68c6f,18
303d372d-7422-4681-9579-3329fe9d7be2,12
306ff481-0404-4323-ad4c-83dcd8be0a96,10
3171b10d-e307-4f9c-82e1-4dfa17697605,1
32a456cf-90b3-4dc0-8c4e-93eb8d5f14f5,6
33111354-9e11-4b70-abd1-076b8af205d5,3
34717a54-06ea-40b2-8b60-d0168ccf571f,50
3567717b-26c8-4a15-a473-4bf54a1608f0,5
35829e37-643a-4e03-b8db-917d1e31aa62,17
361c42a0-3b08-402b-98d5-ef1a3b0134db,1
3656d0ce-bd0d-4db9-9a42-4676599af161,6
366400b1-cecb-4744-8b6a-a2b8e115c728,19
36cdde04-a507-40ec-afc2-a28f343b6476,5
386acdff-52fa-4db0-8edf-872fd0f0a416,1
39287881-dcca-4321-aa92-9fa79e7e8005,1
39a894c5-c28b-41d1-9901-608762e2d193,2
3a7631b6-7e75-46e6-8a16-cec05cc1e27e,15
3b259345-fcf0-48b7-ba0b-7027a5b0aec7,26
3b2f0c92-7145-4272-a4c3-6a8422716667,1
3bd2bdcb-1b05-409e-a76e-1dcdfb20cee0,9
3e2cb7c9-55d5-466b-a186-843d9fd44f0b,7
3f5db9fa-6d21-4195-862c-e11416a9e462,2
401fdb8b-d47b-4562-a409-b3dc040e38ae,12
4092e408-d367-4f5f-a76b-3d9a74c3f100,26
4237b299-b90a-4293-b127-e4a68066d2c9,11
4303747d-e8f0-4966-9b3a-d1021b0fd26d,21
4a95feb1-412a-4dbe-bd06-cd93cd4bc7b1,3
4be59b25-ca9f-48be-9af2-e0a82b56d0a1,39
4d67475c-dd3d-4d1a-a31d-786510e2c3dd,74
4e866871-b536-421d-badd-c0dc9af9c267,4
4e997d50-d37b-4a36-9609-304e0a3ab233,4
4f810b75-6ac6-4e0e-9444-b056c66a6e23,13
509f39d6-2324-4d3d-a2ec-ba7d34681e5f,6
51b8da45-63f6-4293-96bc-b718bb7c7b1f,1
53c865bb-4ac6-47c5-889e-878ef51413cc,1
540106eb-5ea2-4db3-a7c2-38676799ab05,11
54ac8b63-c190-440a-8ef4-20370964c27b,3
54f5b47c-ffa1-4d67-98d3-a66241f57979,1
55bf324f-2dab-4af3-819b-1f9b6db3ffea,1
56a86587-38dc-4b81-8a73-cd471564224f,2
56b66179-c309-4dc7-a7cb-f9df9c119585,2
577052c6-60ac-428d-a0c8-d87bee03b42f,2
57d93cb2-b089-4656-b9af-1dd21428d4f0,8
58fecb5e-1967-419a-9bd8-67f671f2fe8e,20
5928e6b0-b9cd-4c58-87a7-7ca034147cd4,16
597f2a97-2adb-4b3b-b519-0f45b23881b7,2
59bfea45-6d96-46c9-81ca-a010238523e7,47
5ae5fb53-ff06-418b-b917-35ccd4620408,1
5b43521b-e8fb-4b8c-a004-838b451d42af,7
5d51b573-e054-4fa4-8b4a-525d8341730d,9
5d7c971b-6c6b-4661-8eec-f293f2041fee,8
61cf4a67-ca14-4104-ad9c-af38ae86cd35,16
63d5536b-00b8-4a47-9ff9-09d67e685b9a,1
648d4601-1c87-46b1-a2eb-b47244eb3c7d,4
651399ba-9c04-45db-98ac-6aabc7fe6c1f,2
663d6083-5c65-488f-8b7e-e2e6bd509c6e,1
66aaffbf-cef2-4f8d-9211-12cac6df7004,5
675841cd-b704-47c7-b341-fffd1f557291,1
67f92c13-d70f-4ab5-b587-2f4c744a5e43,30
6912fb1d-cf87-4e08-8c02-b69dc145710a,5
