id,userId,rating,classExamId
2,7bf1181f-f7f3-4aa9-8610-958584926d70,163,43
6,1cbbdcc6-5ffd-4589-907c-51e0d56e7d67,190,148
10,6d032c2a-6cb1-4c92-828b-e53898f1d183,189,610
11,14a3f034-fe96-4270-819e-0124166b90a8,187,625
12,6fdca44c-8c28-473b-9dc3-08d46245c6c3,194,630
14,9dd548cd-16c1-4a3e-afe1-77122e8423ae,190,661
16,4303747d-e8f0-4966-9b3a-d1021b0fd26d,175,820
18,0574fc66-8466-448a-ae54-ec9876016fef,160,872
19,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,116,883
21,b586ba14-24e6-4d2c-abe0-3d579ff6d1a9,187,999
25,648d4601-1c87-46b1-a2eb-b47244eb3c7d,167,1051
28,84e5cad6-5c21-45c2-a5ef-281583f1c381,161,1140
29,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,164,1142
30,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,193,1143
31,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,211,1146
32,14a3f034-fe96-4270-819e-0124166b90a8,191,1144
33,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,196,1147
34,648d4601-1c87-46b1-a2eb-b47244eb3c7d,192,1138
35,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,217,1148
36,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,225,1149
37,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,233,1150
38,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,225,1151
39,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,1152
40,4303747d-e8f0-4966-9b3a-d1021b0fd26d,209,1145
41,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,1153
42,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,235,1154
43,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,1156
44,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,229,1157
45,4303747d-e8f0-4966-9b3a-d1021b0fd26d,226,1155
46,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,237,1158
47,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,238,1159
48,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,237,1160
49,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,234,1161
50,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,237,1162
51,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,234,1163
52,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,1164
53,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,1165
54,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,1166
55,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,1167
56,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,232,1168
57,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,235,1169
58,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,1170
59,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,227,1171
60,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,232,1172
61,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,236,1174
62,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,234,1175
63,b8cc3059-09ab-448f-b158-77d6c08f07b6,215,1173
64,6c25e1a1-567b-44fc-b3ae-a3f61faac54a,239,1176
65,efcaeb59-5b1e-4c00-882f-9fbc3cd2fd75,192,1178
66,efcaeb59-5b1e-4c00-882f-9fbc3cd2fd75,213,1179
67,540106eb-5ea2-4db3-a7c2-38676799ab05,195,1177
68,b8cc3059-09ab-448f-b158-77d6c08f07b6,223,1181
69,540106eb-5ea2-4db3-a7c2-38676799ab05,206,1180
70,540106eb-5ea2-4db3-a7c2-38676799ab05,213,1183
71,b8cc3059-09ab-448f-b158-77d6c08f07b6,226,1182
72,540106eb-5ea2-4db3-a7c2-38676799ab05,218,1184
73,b8cc3059-09ab-448f-b158-77d6c08f07b6,221,1185
74,b8cc3059-09ab-448f-b158-77d6c08f07b6,234,1186
75,b8cc3059-09ab-448f-b158-77d6c08f07b6,227,1187
76,7bf1181f-f7f3-4aa9-8610-958584926d70,195,1188
77,7bf1181f-f7f3-4aa9-8610-958584926d70,211,1189
